upload_status,product_id,shop_name,link,shop_img,shop_product_name,product_price,exclude_vat,intl_shipment,duty_percent,import_duty,total_price,curr,kor_price,delivery_method,item_type,product_name,card_title,profit,sale_price,delivery_price,discount,brand,origin,tag1,tag2,tag3,item_cat,custom_cat1,custom_cat2,opt_color
Done,B75806,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-cloud-white-core-black-core-granite-b75806.html,,adidas-originals-samba-og-cloud-white-core-black-core-granite-b75806,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바OG 화이트,아디다스 삼바OG 화이트 B75806,1.2,"174,000","19,000",5,아디다스,영국,기본템,화이트스니커즈,제니운동화,50000788,아디다스,스니커즈,화이트
Done,B75807,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-core-black-cloud-white-gum-5-b75807.html,,adidas-originals-samba-og-core-black-cloud-white-gum-5-b75807,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바OG 블랙,아디다스 삼바OG 블랙 B75807,1.2,"174,000","19,000",5,아디다스,영국,기본템,블랙스니커즈,제니운동화,50000788,아디다스,스니커즈,블랙
Done,GW3159,consortium,https://www.consortium.co.uk/adidas-skateboarding-samba-adv-core-black-cloud-white-gold-metallic-gw3159.html,,adidas-skateboarding-samba-adv-core-black-cloud-white-gold-metallic-gw3159,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바ADV 블랙코어,아디다스 삼바ADV 블랙코어 GW3159,1.2,"174,000","19,000",5,아디다스,영국,기본템,블랙스니커즈,가을슈즈,50000788,아디다스,스니커즈,블랙
Done,GZ8477,consortium,https://www.consortium.co.uk/adidas-skateboarding-samba-adv-footwear-white-core-black-gum-5-gz8477.html,,adidas-skateboarding-samba-adv-footwear-white-core-black-gum-5-gz8477,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바ADV 화이트,아디다스 삼바ADV 화이트 GZ8477,1.2,"174,000","19,000",5,아디다스,영국,기본템,화이트스니커즈,가을슈즈,50000788,아디다스,스니커즈,화이트
Done,DB3021,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-core-black-cloud-white-gum-5-db3021.html,,adidas-originals-handball-spezial-core-black-cloud-white-gum-5-db3021,74.99,1.2,20.83,0,0,83.32,GBP,"₩142,000",site_only,SHOES,아디다스 스페지알 블랙코어,아디다스 스페지알 블랙코어 DB3021,1.2,"151,000","19,000",5,아디다스,영국,기본템,김나영픽,가을슈즈,50000788,아디다스,스니커즈,블랙
Done,ID2056,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-night-navy-cream-white-gum-5-id2056.html,,adidas-originals-samba-og-night-navy-cream-white-gum-5-id2056,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 나이트 네이비,아디다스 삼바OG 나이트 네이비 ID2056,1.2,"177,000","19,000",5,아디다스,영국,고프코어,가을신상,블록코어,50000788,아디다스,스니커즈,네이비
Done,IE7013,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-aluminium-chalk-white-wonder-beige-ie7013.html,,adidas-originals-samba-og-aluminium-chalk-white-wonder-beige-ie7013,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 알루미늄,아디다스 삼바OG 알루미늄 IE7013,1.2,"177,000","19,000",5,아디다스,영국,가을신상,데일리슈즈,기본화,50000788,아디다스,스니커즈,아이보리
Done,BD7633,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-collegiate-navy-clear-sky-gum-5-bd7633.html,,adidas-originals-handball-spezial-collegiate-navy-clear-sky-gum-5-bd7633,78.99,1.2,20.83,0,0,86.66,GBP,"₩147,000",site_only,SHOES,아디다스 스페지알 컬리지에이트 네이비,아디다스 스페지알 컬리지에이트 네이비 BD7633,1.2,"157,000","19,000",5,아디다스,영국,인기템,데일리슈즈,가을슈즈,50000788,아디다스,스니커즈,네이비
Done,IG9980,consortium,https://www.consortium.co.uk/adidas-originals-gazelle-indoor-shadow-maroon-semi-lucid-blue-simple-brown-ig9980.html,,adidas-originals-gazelle-indoor-shadow-maroon-semi-lucid-blue-simple-brown-ig9980,69.99,1.2,20.83,0,0,79.16,GBP,"₩135,000",site_only,SHOES,아디다스 가젤 인도어 쉐도우 마룬,아디다스 가젤 인도어 쉐도우 마룬 IG9980,1.2,"143,000","19,000",5,아디다스,영국,가을슈즈,포인트아이템,고프코어,50000788,아디다스,스니커즈,브라운
Done,FV1227,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-scarlet-footwear-white-gum-5-fv1227.html,,adidas-originals-handball-spezial-scarlet-footwear-white-gum-5-fv1227,84.99,1.2,20.83,0,0,91.66,GBP,"₩156,000",site_only,SHOES,아디다스 스페지알 스칼렛,아디다스 스페지알 스칼렛 FV1227,1.2,"168,000","19,000",5,아디다스,영국,가을신상,포인트아이템,고프코어,50003822,아디다스,스니커즈,레드
Writing,IF6564,consortium,링크,,adidas-originals-handball-spezial-light-blue-wonder-clay-footwear-white-if6564,83.99,1.2,20.83,0,0,90.82,GBP,"₩154,000",site_only,SHOES,아디다스 스페지알 라이트 블루,아디다스 스페지알 라이트 블루 IF6564,1.2,"166,000","19,000",5,아디다스,영국,포인트아이템,귀여운스니커즈,우먼스,50003822,아디다스,스니커즈,스카이블루
Writing,H06271,consortium,링크,,adidas-originals-gazelle-indoor-collegiate-navy-collegiate-navy-collegiate-navy-h06271,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,아디다스 가젤 인도어 컬리지에이트 네이비,아디다스 가젤 인도어 컬리지에이트 네이비 H06271,1.2,"160,000","19,000",5,아디다스,영국,고프코어,편한신발,실물깡패,50000788,아디다스,스니커즈,네이비
